City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,hermanus,-34.4187,19.2345,142.11666666666667,67,26,4.24,ZA,1681447677
1,berlevag,70.8578,29.0864,135.08333333333331,59,37,7.2,NO,1681447678
2,rikitea,-23.1203,-134.9692,147.53333333333333,81,100,10.37,PF,1681447678
3,casas grandes,30.3667,-107.95,141.66666666666669,28,0,7.73,MX,1681447518
4,mmathubudukwane,-24.6,26.4333,143.83333333333331,48,0,0.94,BW,1681447679
5,ponta do sol,32.6667,-17.1,143.61111111111111,68,54,3.74,PT,1681447679
6,khatanga,71.9667,102.5,123.7,78,41,6.51,RU,1681447679
7,goderich,43.7501,-81.7165,144.07222222222222,45,89,5.66,CA,1681447680
8,mount gambier,-37.8333,140.7667,146.07222222222222,49,53,5.27,AU,1681447680
9,airai,-8.9266,125.4092,146.24444444444447,76,35,1.35,TL,1681447680
10,upernavik,72.7868,-56.1549,127.60555555555555,92,100,2.4,GL,1681447681
11,barrow,71.2906,-156.7887,123.97777777777777,78,0,5.14,US,1681447682
12,mananara,-16.1667,49.7667,148.46666666666667,81,46,0.73,MG,1681447682
13,ribeira grande,38.5167,-28.7,143.47222222222223,94,95,6.71,PT,1681447683
14,bluff,-46.6,168.3333,142.57222222222222,73,0,5.94,NZ,1681447684
15,natchez,31.5604,-91.4032,143.48333333333332,73,40,2.57,US,1681447622
16,saint-augustin,51.226,-58.6502,135.0277777777778,88,100,4.71,CA,1681447685
17,chuy,-33.6971,-53.4616,140.60555555555555,71,4,2.57,UY,1681447686
18,lumby,50.2498,-118.969,137.4888888888889,56,100,1.54,CA,1681447527
19,saldanha,-33.0117,17.9442,140.65555555555557,77,0,6.75,ZA,1681447686
20,bambous virieux,-20.3428,57.7575,149.47222222222223,94,20,1.03,MU,1681447686
21,fortuna,40.5982,-124.1573,137.96666666666667,82,27,2.11,US,1681447687
22,dikson,73.5069,80.5464,122.44444444444446,98,100,3.75,RU,1681447688
23,port alfred,-33.5906,26.891,142.36111111111111,82,5,5.81,ZA,1681447688
24,kruisfontein,-34.0033,24.7314,141.9611111111111,70,46,11.51,ZA,1681447689
25,kahului,20.8947,-156.47,148.42222222222225,67,20,5.66,US,1681447507
26,butaritari,3.0707,172.7902,149.3777777777778,78,42,4.91,KI,1681447690
27,bredasdorp,-34.5322,20.0403,140.79444444444445,69,28,2.33,ZA,1681447690
28,charters towers,-20.1,146.2667,152.44444444444443,16,45,4.37,AU,1681447690
29,batemans bay,-35.7167,150.1833,144.1888888888889,62,70,3.4,AU,1681447691
30,vaini,-21.2,-175.2,150.13333333333335,74,20,6.17,TO,1681447691
31,bonanza,14.0289,-84.591,145.82777777777778,93,67,0.45,NI,1681447396
32,tuktoyaktuk,69.4541,-133.0374,122.30555555555556,77,20,3.09,CA,1681447692
33,ketchikan,55.3422,-131.6461,137.3,93,100,0.0,US,1681447692
34,lokomotivnyy,53.0118,60.5684,133.17222222222222,80,100,9.83,RU,1681447693
35,hilo,19.7297,-155.09,147.22222222222223,79,40,1.54,US,1681447693
36,balikpapan,-1.2675,116.8289,149.27777777777777,89,100,1.54,ID,1681447694
37,rio verde de mato grosso,-18.9181,-54.8442,146.6277777777778,88,94,1.91,BR,1681447695
38,longyearbyen,78.2186,15.6401,133.36666666666667,86,75,4.12,SJ,1681447695
39,tilichiki,60.4667,166.1,128.26666666666668,75,7,2.99,RU,1681447695
40,mataura,-46.1927,168.8643,142.53333333333333,68,0,3.36,NZ,1681447696
41,busselton,-33.65,115.3333,143.1777777777778,46,74,10.17,AU,1681447696
42,ushuaia,-54.8,-68.3,135.53333333333333,93,0,2.57,AR,1681447697
43,fare,-16.7,-151.0167,149.0888888888889,72,0,3.88,PF,1681447697
44,dunedin,-45.8742,170.5036,141.31666666666666,80,85,3.13,NZ,1681447659
45,aden,12.7794,45.0367,149.7277777777778,78,10,8.67,YE,1681447698
46,faanui,-16.4833,-151.75,149.15555555555557,72,2,3.44,PF,1681447699
47,tateyama,34.9833,139.8667,144.00555555555556,74,100,8.23,JP,1681447699
48,nikolskoye,59.7035,30.7861,134.49444444444444,71,98,4.21,RU,1681447700
49,porto novo,6.4965,2.6036,149.47222222222223,87,31,2.22,BJ,1681447701
50,aberdeen,57.1437,-2.0981,136.60555555555555,100,75,1.03,GB,1681447701
51,ust-omchug,61.15,149.6333,132.11666666666667,65,100,2.53,RU,1681447701
52,arraial do cabo,-22.9661,-42.0278,147.05,90,8,2.12,BR,1681447703
53,yarada,17.65,83.2667,152.4888888888889,48,27,6.16,IN,1681447703
54,saint george,37.1041,-113.5841,142.69444444444446,34,0,9.77,US,1681447528
55,chapais,49.7834,-74.8492,134.4611111111111,94,100,3.54,CA,1681447660
56,puerto ayora,-0.7393,-90.3518,149.26666666666668,93,92,0.45,EC,1681447705
57,sokolka,53.4072,23.5023,138.81111111111113,96,100,3.66,PL,1681447705
58,padang,-0.9492,100.3543,150.65555555555557,66,96,2.75,ID,1681447705
59,new norfolk,-42.7826,147.0587,142.90000000000003,46,0,3.32,AU,1681447706
60,cape town,-33.9258,18.4232,143.35,71,20,4.63,ZA,1681447593
61,srednekolymsk,67.45,153.6833,131.44444444444446,77,13,6.34,RU,1681447707
62,merano,46.6682,11.1595,137.88333333333333,81,100,3.32,IT,1681447708
63,carnarvon,-24.8667,113.6333,145.95,48,84,11.68,AU,1681447708
64,bilma,18.6853,12.9164,146.4777777777778,10,23,2.85,NE,1681447708
65,jamestown,42.097,-79.2353,143.30555555555554,62,0,0.45,US,1681447707
66,ancud,-41.8697,-73.8203,139.02222222222224,81,100,1.52,CL,1681447709
67,punta arenas,-53.15,-70.9167,135.11666666666667,87,0,5.14,CL,1681447430
68,lakhimpur,27.95,80.7667,155.1277777777778,9,96,4.96,IN,1681447710
69,oussouye,12.485,-16.5469,146.80555555555557,71,53,3.52,SN,1681447710
70,cairns,-16.9167,145.7667,154.36111111111114,72,40,3.6,AU,1681447711
71,san cristobal,7.7669,-72.225,146.80555555555557,73,100,0.51,VE,1681447712
72,launceston,-41.45,147.1667,143.30555555555554,55,100,2.57,AU,1681447713
73,chadiza,-14.0678,32.4392,144.0,95,98,1.1,ZM,1681447714
74,barranquitas,18.1866,-66.3063,145.73333333333335,97,1,3.13,PR,1681447715
75,sabha,27.0377,14.4283,144.15555555555557,12,79,4.09,LY,1681447715
76,anadyr,64.75,177.4833,124.12777777777778,78,0,4.0,RU,1681447715
77,coquimbo,-29.9533,-71.3436,141.66666666666669,94,0,1.54,CL,1681447716
78,husavik,66.0449,-17.3389,135.2888888888889,99,99,1.57,IS,1681447716
79,margate,51.3813,1.3862,138.8777777777778,88,91,0.89,GB,1681447717
80,viedma,-40.8135,-62.9967,138.2888888888889,65,0,2.4,AR,1681447717
81,hobart,-42.8794,147.3294,143.0055555555556,69,75,4.63,AU,1681447597
82,la palma,33.8464,-118.0467,141.67777777777778,84,75,3.6,US,1681447718
83,mpika,-11.8343,31.4529,143.54444444444445,94,97,2.35,ZM,1681447718
84,marystown,47.1666,-55.1483,135.77777777777777,100,100,5.2,CA,1681447719
85,port elizabeth,-33.918,25.5701,142.64444444444445,86,20,10.29,ZA,1681447719
86,port moresby,-9.4431,147.1797,151.01666666666665,70,40,5.66,PG,1681447720
87,ojinaga,29.5667,-104.4167,148.7111111111111,19,0,0.0,MX,1681447720
88,saskylakh,71.9167,114.0833,129.9388888888889,88,72,7.68,RU,1681447721
89,thompson,55.7435,-97.8558,135.13333333333335,64,75,2.57,CA,1681447527
90,atuona,-9.8,-139.0333,148.84444444444446,69,93,0.97,PF,1681447510
91,port macquarie,-31.4333,152.9167,146.28333333333333,59,15,6.01,AU,1681447564
92,mount pleasant,32.7941,-79.8626,145.7,98,0,3.6,US,1681447496
93,strezhevoy,60.7333,77.5889,126.71666666666665,75,68,4.65,RU,1681447722
94,avera,33.194,-82.5271,143.7111111111111,99,91,2.66,US,1681447723
95,cordeiro,-22.0286,-42.3608,144.57777777777778,94,2,1.27,BR,1681447723
96,chokurdakh,70.6333,147.9167,128.50555555555556,86,99,3.95,RU,1681447724
97,raquira,5.5379,-73.632,141.86111111111114,96,100,1.68,CO,1681447724
98,umm lajj,25.0213,37.2685,147.54444444444445,33,1,5.57,SA,1681447724
99,lai,9.3952,16.2989,149.80555555555554,52,77,1.86,TD,1681447725
100,luderitz,-26.6481,15.1594,143.25555555555556,72,77,8.34,NA,1681447726
101,east london,-33.0153,27.9116,143.15,67,0,3.6,ZA,1681447727
102,salta,-24.7859,-65.4117,141.3777777777778,94,100,2.06,AR,1681447727
103,verkhnyaya inta,65.9811,60.3094,128.6388888888889,93,100,9.57,RU,1681447728
104,teguise,29.0605,-13.564,142.3722222222222,72,75,7.2,ES,1681447728
105,mahebourg,-20.4081,57.7,149.48333333333335,94,20,1.03,MU,1681447730
